Issue Type,Issue key,Issue id,Summary,Created,Component/s,Component/s,Labels,Labels,Labels,Labels,Labels,Status,Priority,Custom field (Epic Name),Assignee
Bug,EW-947,846983,Smart TV: Black screen - when logout and login with other user,2023-06-28 11:08,Smart TV,,,,,,,Done,3 - Medium,,M88508
Bug,EW-944,846452,Web - Device Management - Cancelling empties device list,2023-06-26 12:46,Web,,,,,,,To Do,4 - Low,,
Bug,EW-939,845942,CC: Back to live not working,2023-06-22 15:13,Web,,Chromecast,,,,,To Do,2 - High,,
Bug,EW-936,845774,Rental page link redirects you to 404 page,2023-06-22 09:50,Web,,Rental,,,,,To Do,3 - Medium,,
Bug,EW-935,845640,STV - conviva tracking box - focus is lost,2023-06-21 15:27,Smart TV,,,,,,,Test,4 - Low,,M94083
Bug,EW-934,845628,STV - rentals - expired card ,2023-06-21 15:07,Smart TV,,,,,,,Done,2 - High,,M86720
Bug,EW-933,845617,Smart TV:  Rental movie not showing and spinner when renting the first movie,2023-06-21 14:56,Smart TV,,,,,,,Done,1 - Critical,,M86720
Bug,EW-932,845587,STV - recordings - dialogue box should be automatically closed,2023-06-21 14:32,Smart TV,,,,,,,Done,4 - Low,,M94083
Bug,EW-931,845499,STV - search - you can't see all search results for series,2023-06-21 13:41,Smart TV,,,,,,,Done,2 - High,,M94083
Bug,EW-930,845497,STV - search - deleted search word shows when you select search again,2023-06-21 13:39,Smart TV,,,,,,,Done,4 - Low,,M94083
Bug,EW-929,845492,STV - series - progress bar is missing on the episode tiles,2023-06-21 13:34,Smart TV,,,,,,,Done,3 - Medium,,M94083
Bug,EW-928,845477,STV - recordings - future programs should have recording button on the synopsis,2023-06-21 13:23,Smart TV,,,,,,,Done,2 - High,,M94083
Bug,EW-927,845472,STV - When setting series recordings you get error message on the synopsis in the tv-guide,2023-06-21 13:20,Smart TV,,,,,,,Done,2 - High,,M86720
Bug,EW-926,845385,CC: Not able to play live tv from børn menu ,2023-06-21 12:08,Web,,Chromecast,LiveTV,,,,To Do,2 - High,,
Bug,EW-925,845319,STV - Series are missing episode names and episode number,2023-06-21 11:27,Smart TV,,,,,,,Done,2 - High,,M92841
Bug,EW-924,845312,STV - Endless spinner when trying to play live-tv,2023-06-21 11:20,Smart TV,,,,,,,Done,1 - Critical,,M88508
Bug,EW-920,845032,CC: Not able to scrub TV2 10 min- while connected to CC,2023-06-20 11:22,Web,,Chromecast,TV2,,,,To Do,2 - High,,
Bug,EW-918,844730,"Web: Can't play ""test"" channels, spinning wheel ",2023-06-19 13:48,Web,,livetv,,,,,To Do,3 - Medium,,
Bug,EW-917,844721,Tracking: Fix reporting logic for Nielsen in new web app,2023-06-19 13:42,Web,,"nielsen,",,,,,Done,2 - High,,M101317
Bug,EW-915,844682,STV - redesign - Promoview is missing in the channel universe,2023-06-19 12:45,,,,,,,,Done,3 - Medium,,M88508
Bug,EW-911,844142,CC: Live tv to Start-over Problem while Casting from Android mobile to CC and Google/Android TV ,2023-06-16 14:19,Chromecast Receiver,Google/Android  TV,,,,,,To Do,2 - High,,M93417
Bug,EW-910,844136,Move away from using 12345 as the trigger for debug overlay,2023-06-16 14:01,Smart TV,,,,,,,Done,None,,M101317
Bug,EW-909,844104,Fix synopsis action titles not mapping correctly,2023-06-16 12:24,Smart TV,,,,,,,Done,None,,M94083
Bug,EW-908,843933,CC: Start time wrong playing Live Tv ,2023-06-15 16:13,Web,,Dash.js,,,,,To Do,3 - Medium,,
Bug,EW-906,843533,Player back button exits synopsis,2023-06-14 14:20,Smart TV,,,,,,,Done,None,,A72562
Bug,EW-904,843426,Smart TV: Device management dialog with no focus after rental,2023-06-14 10:52,Smart TV,Web,ew:rentals,,,,,In Progress,2 - High,,M86720
Bug,EW-900,842830,Synopsis in fallback mode crashes,2023-06-12 12:09,Web,,,,,,,Done,1 - Critical,,M93417
Bug,EW-896,841024,Web: Wrong language subtitles shown on VOD ,2023-06-09 13:21,Web,,subtitles,,,,,To Do,2 - High,,
Bug,EW-893,840872,Smart TV - The app doesn't work when you haven't used it for several hours,2023-06-09 11:19,Smart TV,,,,,,,Test Failed,1 - Critical,,M88508
Bug,EW-891,840500,Smart TV - Rows disappears in Mest sete på tv,2023-06-08 13:24,Smart TV,,,,,,,Done,1 - Critical,,M93417
Bug,EW-890,840486,No login page displayed on iPhone browser,2023-06-08 12:45,Web,,login-page,,,,,Done,3 - Medium,,
Bug,EW-888,840308,Web: Promoview carrousel only rotate once or twice,2023-06-07 13:45,Web,,,,,,,To Do,4 - Low,,
Bug,EW-887,840274,Web: The images used in search for movies appear to be portrait images stretched to landscape,2023-06-07 12:18,Web,,images,search,,,,To Do,3 - Medium,,
Bug,EW-885,840267,Web: Season names on VOD series tab bar are in English,2023-06-07 11:49,Web,,serier,,,,,To Do,3 - Medium,,
Bug,EW-884,840266,Smart TV - My page - Udvalgte kanaler - Viaplay and Cmore is not working correct,2023-06-07 11:47,Smart TV,,,,,,,Done,3 - Medium,,A72562
Bug,EW-883,840265,"Web: Pausing play can only be done via the ""Pause""-button",2023-06-07 11:46,Web,,Pause,,,,,To Do,3 - Medium,,M93977
Bug,EW-882,840264,Web: Video doesn't automatically start playing after starting over by scrolling back,2023-06-07 11:42,Web,,progressbar,,,,,To Do,2 - High,,
Bug,EW-881,840259,Web: Automatic content rows from ODP under DRTV returns 404,2023-06-07 11:34,Web,,,,,,,To Do,3 - Medium,,
Bug,EW-880,840247,Smart TV: npvr - recording view should be shown in columns,2023-06-07 11:02,Smart TV,,,,,,,Done,3 - Medium,,M88508
Bug,EW-879,840243,Smart TV: npvr - focus is lost,2023-06-07 10:54,Smart TV,,,,,,,Done,2 - High,,M86720
Bug,EW-878,840227,Smart TV: tv guide freezes or crashes when navigating around,2023-06-07 10:29,Smart TV,,,,,,,Done,2 - High,,M88508
Bug,EW-876,840131,CC: Connect to CC screen not able to see in Børn live TV ,2023-06-06 15:41,Web,,Chromecast,,,,,Won't fix,3 - Medium,,
Bug,EW-875,840120,Smart TV: nPVR - planned recordings should be editable,2023-06-06 15:19,Smart TV,,,,,,,Done,2 - High,,M94083
Bug,EW-874,840118,Smart TV: npvr - planned recordings - focus is lost,2023-06-06 15:14,Smart TV,,,,,,,Done,2 - High,,M94083
Bug,EW-867,840010,Smart TV: Lookup npvr flag to show npvr actions,2023-06-06 10:46,Smart TV,Web,NPVR,,,,,Done,3 - Medium,,M86720
Bug,EW-861,839516,Smart TV: Series - episode description is missing,2023-06-01 14:21,Smart TV,,,,,,,Won't fix,3 - Medium,,
Bug,EW-860,839470,Smart TV: Series - CTA button has the wrong text,2023-06-01 12:45,Smart TV,,,,,,,Done,4 - Low,,M94083
Bug,EW-859,839435,Smart TV: Expiration is missing on synopsis for archive programs,2023-06-01 12:07,Smart TV,,,,,,,Won't fix,4 - Low,,
Bug,EW-858,839379,Smart TV - TV page - rows disappeared after watching archive,2023-06-01 10:54,Smart TV,,,,,,,Done,1 - Critical,,M88508
Bug,EW-849,839350,Smart TV - TV page freezes after watching live tv,2023-06-01 10:29,Smart TV,,,,,,,Done,1 - Critical,,M88508
Bug,EW-848,839345,Smart TV - Volume is not working if you connect to bluetooth,2023-06-01 10:18,Smart TV,,,,,,,Done,2 - High,,
Bug,EW-846,839183,Smart TV: Se videre is not updating unless you quit the app and open it again,2023-05-31 15:20,Smart TV,,,,,,,Done,3 - Medium,,M86720
Bug,EW-844,839171,Smart TV: Device management - Message is showing after removing device,2023-05-31 14:45,Smart TV,,,,,,,Done,4 - Low,,M88508
Bug,EW-843,839167,Smart TV: Series - player overlay shows wrong season and episode,2023-05-31 14:39,Smart TV,,,,,,,Done,3 - Medium,,M94083
Bug,EW-841,839156,Smart TV - Not able to quit live tv after using go to live button,2023-05-31 14:14,Smart TV,,,,,,,Done,2 - High,,A72562
Bug,EW-840,839151,Smart TV: Login messages should be aligned,2023-05-31 14:06,Smart TV,,,,,,,Done,4 - Low,,
Bug,EW-839,839038,Web: After TV-guide page refresh - infinity loading spinner,2023-05-31 09:42,Web,,EPG,,,,,To Do,2 - High,,
Bug,EW-837,838916,Rental Movie - Black Screen when try to press back from synopsis after renting movie,2023-05-30 13:54,Web,,Rental,,,,,Done,1 - Critical,,M92841
Bug,EW-836,838801,QA: Sender or iOS issue with ChromeCast,2023-05-30 09:44,Chromecast Receiver,,,,,,,To Do,None,,A72562
Bug,EW-835,838799,"Web: Starting Playback from ""Se videre"" sling does not start playback from the latest bookmark",2023-05-30 09:41,Web,,Bookmark,minside,,,,To Do,3 - Medium,,
Bug,EW-834,838794,Web: Auto-binging to next episode exits fullscreen mode and prohibits use of fullscreen mode,2023-05-30 09:34,Web,,binge-watching,Fullscreen,PlayerControls,,,To Do,3 - Medium,,
Bug,EW-830,838397,Web: Subtitles overlay player controls ,2023-05-26 09:07,Web,,subtitles,,,,,To Do,4 - Low,,
Bug,EW-804,837924,Web: Keyboard control input reloads stream,2023-05-24 10:57,Web,,PlayerControls,,,,,To Do,4 - Low,,
Bug,EW-803,837913,Bookmark on nPVR failing and spamming calls t backend,2023-05-24 10:45,Web,,bookmark,nPVR,,,,Done,2 - High,,M93417
Bug,EW-799,837725,Web: EPG missing recording & favorit icon on timeslots,2023-05-23 13:41,Web,,EPG,,,,,To Do,4 - Low,,
Bug,EW-798,837720,Web: EPG header is not sticky,2023-05-23 13:37,Web,,EPG,,,,,To Do,3 - Medium,,
Bug,EW-797,837684,Web: Backscreen after content finishes in PIP mode ,2023-05-23 10:52,Web,,PIP,,,,,To Do,2 - High,,
Bug,EW-796,837676,Web: PIP player closes when navigating away from synopsis,2023-05-23 10:45,Web,,PIP,,,,,To Do,3 - Medium,,
Bug,EW-795,837357,After automatically binging to next episode the user can't manually start content,2023-05-22 09:10,Web,,binge-watching,,,,,Done,2 - High,,M93417
Bug,EW-794,836617,Web: Web app displays the same content across content pages ,2023-05-15 12:44,Web,,Archive,Synopsis-pages,,,,To Do,3 - Medium,,
Bug,EW-793,836584,Pressing play on episodes play icon in the episodes list does not start playback,2023-05-15 11:12,Web,,Archive,Synopsis,,,,Done,3 - Medium,,M93417
Bug,EW-792,836579,Not able to see all archive content in synopsis with many episodes,2023-05-15 11:04,Web,,Synopsis,,,,,Done,3 - Medium,,M93417
Bug,EW-791,836564,Recordings on CC displays wrong runtime (24h),2023-05-15 10:41,Web,,Chromecast-sender,npvr,,,,Done,2 - High,,M93417
Bug,EW-790,836561,Web: Channel Page thumbnails are very big and blurry,2023-05-15 10:31,Web,,ChannelPage,thumbnails,,,,To Do,4 - Low,,
Bug,EW-789,836511,Web: Wrong VOD data send to concurrency endpoint,2023-05-15 09:15,Web,,Concurrency,VOD,,,,On hold,3 - Medium,,
Bug,EW-788,836490,Smart TV: (TV page) Redesign - live icon should be removed from the assets in the first row,2023-05-15 08:51,Smart TV,,,,,,,Done,4 - Low,,M94083
Bug,EW-787,836464,CC not saving bookmark when changing episode during PIP,2023-05-15 08:19,Web,,bookmark,Chromecast,PIP,,,Done,3 - Medium,,M93417
Bug,EW-786,836175,Missing progress on Series synopsis episode tiles,2023-05-11 19:56,Web,,Synopsis-pages,,,,,Done,3 - Medium,,M93417
Bug,EW-782,835860,Web: Binge UI not displaying image,2023-05-10 11:50,Web,,binge-watching,,,,,To Do,4 - Low,,
